Age,Gender,Income,Location,Ad Type,Ad Topic,Ad Placement,Clicks,Click Time,Conversion Rate,CTR,Impressions,Expected_Conversions,Estimated_Cost,Estimated_Revenue,CPA,ROI
53.0,Male,45947.1,Rural,Video,Health,Website,5,2023-11-10 20:45:56.898459,0.0538,0.0303,165.01650165016503,0.269,2.5,10.760000000000002,9.293680297397769,3.3040000000000007
53.0,Male,51355.06,Urban,Banner,Fashion,Search Engine,6,2023-10-20 20:45:56.898459,0.2863,0.058,103.44827586206895,1.7178,3.0,68.712,1.7464198393293748,21.904
29.0,Female,46982.03,Urban,Text,Food,Website,6,2023-07-31 20:45:56.898459,0.0427,0.0224,267.85714285714283,0.2562,3.0,10.248,11.7096018735363,2.416
30.0,Female,60828.37,Rural,Text,Finance,Search Engine,3,2024-01-28 20:45:56.898459,0.4255,0.0391,76.72634271099744,1.2765,1.5,51.06,1.1750881316098707,33.04
19.0,Female,64288.68,Rural,Native,Technology,Search Engine,6,2023-10-25 20:45:56.898459,0.1025,0.0398,150.7537688442211,0.615,3.0,24.6,4.878048780487805,7.2
13.0,Female,36588.14,Urban,Video,Technology,Website,4,2023-11-09 20:45:56.898459,0.3088,0.0669,59.79073243647235,1.2352,2.0,49.408,1.6191709844559585,23.704
9.0,Male,23402.82,Rural,Native,Travel,Social Media,5,2024-01-22 20:45:56.898459,0.3478,0.0262,190.83969465648855,1.7389999999999999,2.5,69.56,1.4376078205865441,26.824
64.0,Male,23174.34,Rural,Text,Travel,Social Media,3,2023-07-31 20:45:56.898459,0.071,0.0678,44.24778761061947,0.21299999999999997,1.5,8.52,7.042253521126762,4.68
27.0,Male,38731.09,Suburban,Native,Travel,Social Media,4,2023-09-29 20:45:56.898459,0.2015,0.0658,60.79027355623101,0.806,2.0,32.24,2.4813895781637716,15.120000000000001
28.0,Female,44166.67,Rural,Native,Fashion,Website,6,2023-09-03 20:45:56.898459,0.2729,0.051,117.64705882352942,1.6374,3.0,65.496,1.8321729571271528,20.831999999999997
16.0,Male,65458.88,Urban,Banner,Food,Search Engine,7,2023-05-22 20:45:56.898459,0.1489,0.0432,162.03703703703704,1.0423,3.5,41.692,3.3579583613163195,10.912
46.0,Male,80284.95,Rural,Text,Health,Social Media,2,2023-08-09 20:45:56.898459,0.1177,0.0342,58.47953216374269,0.2354,1.0,9.416,4.248088360237893,8.416
10.0,Male,49443.9,Urban,Native,Travel,Website,4,2023-09-12 20:45:56.898459,0.3132,0.0428,93.45794392523365,1.2528,2.0,50.111999999999995,1.5964240102171137,24.055999999999997
31.0,Male,39963.08,Suburban,Native,Finance,Social Media,8,2023-08-13 20:45:56.898459,0.2173,0.0266,300.75187969924815,1.7384,4.0,69.536,2.300966405890474,16.384
21.0,Male,62354.16,Urban,Text,Travel,Website,5,2023-08-15 20:45:56.898459,0.2819,0.0516,96.89922480620154,1.4095,2.5,56.379999999999995,1.7736786094359702,21.552
40.0,Other,50849.01,Suburban,Video,Travel,Search Engine,5,2023-06-14 20:45:56.898459,0.1592,0.0306,163.39869281045753,0.796,2.5,31.840000000000003,3.1407035175879394,11.736
27.0,Male,55531.81,Urban,Text,Fashion,Social Media,5,2023-05-12 20:45:56.898459,0.0983,0.0484,103.30578512396694,0.4915,2.5,19.66,5.0864699898270604,6.864
17.0,Other,62807.1,Rural,Native,Fashion,Website,7,2023-10-02 20:45:56.898459,0.3698,0.05,140.0,2.5886,3.5,103.544,1.3520822065981613,28.584
34.0,Male,39949.18,Urban,Native,Finance,Search Engine,1,2024-01-04 20:45:56.898459,0.2505,0.0315,31.746031746031747,0.2505,0.5,10.02,1.996007984031936,19.04
41.0,Female,61847.07,Suburban,Native,Technology,Search Engine,5,2023-12-16 20:45:56.898459,0.2261,0.0206,242.71844660194174,1.1305,2.5,45.22,2.21141088014153,17.088
35.0,Female,62957.24,Urban,Banner,Fashion,Social Media,3,2023-05-17 20:45:56.899351,0.2871,0.0664,45.18072289156626,0.8613000000000001,1.5,34.452000000000005,1.7415534656913967,21.968000000000004
39.0,Female,19111.23,Suburban,Banner,Fashion,Social Media,8,2023-09-03 20:45:56.899351,0.1673,0.0506,158.10276679841897,1.3384,4.0,53.536,2.9886431560071727,12.384
25.0,Female,24840.5,Rural,Banner,Travel,Search Engine,3,2024-04-09 20:45:56.899351,0.2716,0.0402,74.6268656716418,0.8148,1.5,32.592,1.8409425625920472,20.727999999999998
29.0,Other,75618.52,Rural,Banner,Travel,Website,8,2023-07-27 20:45:56.899351,0.1348,0.0562,142.34875444839858,1.0784,4.0,43.136,3.7091988130563798,9.784
24.0,Female,62707.68,Urban,Video,Fashion,Social Media,6,2023-07-02 20:45:56.899351,0.1208,0.0495,121.2121212121212,0.7248,3.0,28.992,4.139072847682119,8.664
29.0,Female,58263.49,Suburban,Text,Health,Website,9,2023-04-27 20:45:56.899351,0.2912,0.0598,150.5016722408027,2.6208,4.5,104.832,1.717032967032967,22.296
22.0,Female,56317.49,Urban,Text,Food,Website,6,2023-07-29 20:45:56.899351,0.1866,0.0598,100.33444816053512,1.1196,3.0,44.784,2.679528403001072,13.927999999999999
9.0,Female,73602.32,Urban,Video,Travel,Search Engine,8,2023-07-11 20:45:56.899351,0.0731,0.036,222.22222222222223,0.5848,4.0,23.392,6.839945280437757,4.848
37.0,Male,40871.66,Urban,Native,Finance,Website,4,2023-06-09 20:45:56.899351,0.0723,0.0459,87.14596949891067,0.2892,2.0,11.568000000000001,6.915629322268326,4.784000000000001
28.0,Female,58183.05,Rural,Banner,Travel,Website,1,2023-12-25 20:45:56.899351,0.0407,0.0187,53.475935828877,0.0407,0.5,1.6280000000000001,12.285012285012286,2.2560000000000002
10.0,Male,20402.04,Urban,Banner,Food,Website,5,2024-04-03 20:45:56.899351,0.386,0.0342,146.19883040935673,1.9300000000000002,2.5,77.2,1.2953367875647668,29.880000000000003
41.0,Male,75458.8,Urban,Video,Food,Social Media,1,2023-09-09 20:45:56.899351,0.079,0.0303,33.003300330033,0.079,0.5,3.16,6.329113924050633,5.32
21.0,Male,33990.5,Rural,Native,Technology,Social Media,4,2023-07-13 20:45:56.899351,0.4223,0.04,100.0,1.6892,2.0,67.568,1.1839924224484963,32.784
35.0,Female,41135.72,Suburban,Banner,Fashion,Website,7,2023-04-23 20:45:56.899351,0.0189,0.0484,144.62809917355372,0.1323,3.5,5.292,26.455026455026456,0.5119999999999999
45.0,Female,57373.69,Urban,Video,Technology,Search Engine,1,2024-03-30 20:45:56.899351,0.1223,0.0077,129.87012987012986,0.1223,0.5,4.892,4.088307440719542,8.784
36.0,Male,65014.85,Rural,Video,Finance,Social Media,10,2023-11-02 20:45:56.899351,0.2394,0.0678,147.49262536873155,2.394,5.0,95.76,2.0885547201336676,18.152
52.0,Female,68853.82,Urban,Banner,Fashion,Search Engine,3,2023-07-13 20:45:56.899351,0.0596,0.0254,118.11023622047244,0.17880000000000001,1.5,7.152000000000001,8.389261744966442,3.7680000000000007
16.0,Male,82985.49,Rural,Banner,Technology,Social Media,4,2023-09-06 20:45:56.899351,0.3877,0.043,93.0232558139535,1.5508,2.0,62.032,1.2896569512509672,30.016
41.0,Male,19089.89,Urban,Banner,Food,Website,1,2023-10-23 20:45:56.899351,0.1403,0.0197,50.76142131979696,0.1403,0.5,5.612,3.563791874554526,10.224
24.0,Female,25319.53,Rural,Text,Finance,Social Media,6,2023-07-20 20:45:56.899351,0.1879,0.0253,237.15415019762847,1.1274000000000002,3.0,45.096000000000004,2.6609898882384244,14.032000000000002
21.0,Male,31980.07,Suburban,Banner,Fashion,Search Engine,3,2024-02-20 20:45:56.899351,0.3858,0.0557,53.85996409335727,1.1574,1.5,46.296,1.2960082944530844,29.864
26.0,Male,24529.2,Rural,Banner,Health,Search Engine,6,2023-06-28 20:45:56.899351,0.4765,0.0567,105.82010582010582,2.859,3.0,114.36,1.0493179433368311,37.12
30.0,Female,48769.03,Urban,Video,Fashion,Social Media,5,2023-10-28 20:45:56.899351,0.245,0.0835,59.88023952095808,1.225,2.5,49.0,2.0408163265306123,18.6
35.0,Other,87281.97,Suburban,Video,Food,Website,4,2023-11-23 20:45:56.899351,0.2179,0.053,75.47169811320755,0.8716,2.0,34.864000000000004,2.2946305644791187,16.432000000000002
17.0,Other,43013.73,Suburban,Native,Food,Website,1,2024-02-29 20:45:56.899351,0.1695,0.0573,17.452006980802793,0.1695,0.5,6.78,2.949852507374631,12.56
48.0,Male,54347.78,Urban,Native,Fashion,Search Engine,6,2024-03-07 20:45:56.899351,0.2648,0.0544,110.29411764705883,1.5888,3.0,63.552,1.8882175226586102,20.184
41.0,Other,1250.54,Suburban,Text,Health,Search Engine,2,2023-05-02 20:45:56.899351,0.1896,0.0268,74.6268656716418,0.3792,1.0,15.168,2.6371308016877637,14.168
11.0,Other,49232.54,Suburban,Banner,Fashion,Search Engine,4,2024-04-07 20:45:56.899351,0.1375,0.0437,91.53318077803203,0.55,2.0,22.0,3.6363636363636362,10.0
57.0,Male,44979.21,Urban,Native,Travel,Social Media,0,2024-01-26 20:45:56.899351,0.1081,0.0165,0.0,0.0,0.0,0.0,,
63.0,Male,35720.87,Rural,Text,Fashion,Social Media,5,2023-12-31 20:45:56.899351,0.2205,0.026,192.30769230769232,1.1025,2.5,44.1,2.2675736961451247,16.64
52.0,Male,67818.54,Rural,Video,Finance,Search Engine,5,2023-06-17 20:45:56.899351,0.245,0.0278,179.85611510791367,1.225,2.5,49.0,2.0408163265306123,18.6
32.0,Female,76733.48,Suburban,Banner,Health,Website,3,2023-08-03 20:45:56.899351,0.0495,0.0794,37.78337531486146,0.14850000000000002,1.5,5.940000000000001,10.1010101010101,2.960000000000001
18.0,Male,48339.17,Suburban,Native,Travel,Social Media,4,2023-08-06 20:45:56.899351,0.3176,0.037,108.10810810810811,1.2704,2.0,50.816,1.5743073047858942,24.408
50.0,Male,100260.79,Urban,Native,Fashion,Search Engine,5,2023-04-27 20:45:56.899351,0.188,0.0674,74.1839762611276,0.94,2.5,37.599999999999994,2.6595744680851063,14.039999999999997
28.0,Male,51961.63,Suburban,Video,Fashion,Website,5,2023-11-11 20:45:56.899351,0.1723,0.0504,99.2063492063492,0.8615,2.5,34.46,2.901915264074289,12.784
53.0,Male,33027.18,Suburban,Native,Finance,Search Engine,4,2024-01-04 20:45:56.899351,0.3081,0.0236,169.49152542372883,1.2324,2.0,49.296,1.622849724115547,23.648
38.0,Female,59997.25,Rural,Banner,Health,Search Engine,7,2023-12-09 20:45:56.899351,0.1605,0.0117,598.2905982905983,1.1235,3.5,44.94,3.1152647975077885,11.84
49.0,Female,41810.76,Suburban,Text,Fashion,Search Engine,6,2023-08-06 20:45:56.899351,0.1124,0.0682,87.97653958944282,0.6744,3.0,26.976,4.448398576512456,7.992
40.0,Female,60917.19,Rural,Native,Food,Website,2,2023-11-25 20:45:56.899351,0.2183,0.0602,33.222591362126245,0.4366,1.0,17.464,2.2904260192395784,16.464
45.0,Male,40275.68,Suburban,Text,Finance,Website,5,2023-09-07 20:45:56.899351,0.0885,0.0535,93.45794392523365,0.4425,2.5,17.7,5.649717514124294,6.08
35.0,Female,9089.99,Suburban,Banner,Finance,Search Engine,6,2023-08-21 20:45:56.899351,0.3752,0.0379,158.31134564643799,2.2512,3.0,90.048,1.3326226012793179,29.016000000000002
61.0,Female,70786.39,Suburban,Native,Health,Website,2,2024-01-10 20:45:56.899351,0.0292,0.0705,28.368794326241137,0.0584,1.0,2.336,17.123287671232877,1.3359999999999999
36.0,Female,52336.99,Rural,Native,Travel,Social Media,6,2023-09-12 20:45:56.899351,0.1221,0.1,60.0,0.7326,3.0,29.304000000000002,4.095004095004095,8.768
41.0,Male,15668.23,Urban,Text,Finance,Search Engine,6,2023-06-30 20:45:56.899351,0.1326,0.0359,167.13091922005572,0.7956,3.0,31.823999999999998,3.770739064856712,9.607999999999999
63.0,Male,27858.24,Urban,Video,Finance,Social Media,7,2023-06-30 20:45:56.899351,0.0656,0.084,83.33333333333333,0.45920000000000005,3.5,18.368000000000002,7.621951219512194,4.248
14.0,Female,55036.75,Suburban,Video,Food,Social Media,6,2024-04-19 20:45:56.899351,0.0708,0.051,117.64705882352942,0.4248,3.0,16.992,7.062146892655367,4.664000000000001
15.0,Male,25102.63,Rural,Native,Finance,Social Media,3,2023-10-23 20:45:56.899351,0.2316,0.047,63.829787234042556,0.6948,1.5,27.791999999999998,2.1588946459412783,17.528
49.0,Female,61179.65,Suburban,Video,Travel,Website,5,2024-01-07 20:45:56.899351,0.1648,0.0558,89.60573476702508,0.8240000000000001,2.5,32.96,3.0339805825242716,12.184000000000001
17.0,Other,85541.33,Suburban,Banner,Fashion,Search Engine,6,2023-12-23 20:45:56.899351,0.2446,0.0377,159.15119363395226,1.4676,3.0,58.704,2.044153720359771,18.568
64.0,Male,18081.34,Urban,Video,Technology,Search Engine,5,2024-03-26 20:45:56.899351,0.3892,0.0208,240.3846153846154,1.946,2.5,77.84,1.2846865364850977,30.136000000000003
28.0,Female,80814.86,Urban,Native,Technology,Social Media,3,2024-03-02 20:45:56.899351,0.4125,0.0625,48.0,1.2374999999999998,1.5,49.49999999999999,1.2121212121212124,31.999999999999996
23.0,Male,38205.39,Suburban,Native,Health,Website,5,2023-08-23 20:45:56.899351,0.2928,0.0659,75.87253414264036,1.464,2.5,58.56,1.7076502732240437,22.424
63.0,Female,13715.06,Rural,Banner,Food,Social Media,7,2023-09-06 20:45:56.899351,0.2759,0.0371,188.67924528301887,1.9312999999999998,3.5,77.252,1.8122508155128672,21.072
57.0,Other,53396.39,Rural,Native,Fashion,Social Media,9,2024-02-12 20:45:56.899351,0.2716,0.034,264.70588235294116,2.4444,4.5,97.776,1.8409425625920472,20.727999999999998
63.0,Male,47409.79,Rural,Banner,Fashion,Social Media,4,2023-12-20 20:45:56.899351,0.053,0.025,160.0,0.212,2.0,8.48,9.433962264150944,3.24
48.0,Other,60555.09,Suburban,Banner,Fashion,Search Engine,6,2024-03-07 20:45:56.899351,0.2151,0.0507,118.34319526627219,1.2906,3.0,51.623999999999995,2.3245002324500232,16.208
22.0,Female,54892.26,Urban,Banner,Travel,Search Engine,7,2023-08-03 20:45:56.899351,0.1797,0.0652,107.36196319018406,1.2579,3.5,50.316,2.782415136338342,13.376000000000001
63.0,Female,43529.85,Urban,Video,Health,Search Engine,3,2023-09-11 20:45:56.899351,0.0988,0.0793,37.83102143757882,0.2964,1.5,11.856,5.060728744939271,6.904
30.0,Female,75123.72,Urban,Video,Finance,Website,6,2023-10-04 20:45:56.899351,0.0565,0.0523,114.72275334608031,0.339,3.0,13.56,8.849557522123893,3.52
47.0,Female,65100.79,Urban,Video,Food,Social Media,5,2023-10-11 20:45:56.899351,0.148,0.0608,82.23684210526316,0.74,2.5,29.6,3.3783783783783785,10.84
49.0,Male,53027.76,Urban,Native,Fashion,Website,6,2024-04-04 20:45:56.899351,0.3582,0.0822,72.99270072992701,2.1492,3.0,85.968,1.3958682300390843,27.656000000000002
32.0,Other,41570.32,Urban,Native,Technology,Social Media,8,2024-02-27 20:45:56.899351,0.1832,0.0748,106.951871657754,1.4656,4.0,58.624,2.7292576419213974,13.656
44.0,Male,66296.73,Suburban,Text,Technology,Social Media,9,2023-07-07 20:45:56.899351,0.3795,0.0502,179.28286852589642,3.4155,4.5,136.62,1.3175230566534915,29.36
48.0,Male,78603.46,Urban,Text,Technology,Search Engine,7,2024-02-11 20:45:56.899351,0.1896,0.0525,133.33333333333334,1.3272,3.5,53.087999999999994,2.6371308016877637,14.167999999999997
40.0,Female,52601.79,Suburban,Text,Fashion,Website,5,2023-06-27 20:45:56.899351,0.1757,0.0415,120.48192771084337,0.8785,2.5,35.14,2.8457598178713717,13.056000000000001
18.0,Male,59207.78,Urban,Banner,Finance,Website,3,2023-11-02 20:45:56.899351,0.1558,0.062,48.38709677419355,0.4674,1.5,18.695999999999998,3.209242618741977,11.463999999999999
39.0,Male,32601.22,Urban,Banner,Technology,Website,4,2023-09-02 20:45:56.899351,0.1829,0.0249,160.6425702811245,0.7316,2.0,29.264000000000003,2.733734281027884,13.632000000000001
54.0,Male,49525.38,Urban,Banner,Technology,Search Engine,6,2023-04-22 20:45:56.899351,0.2495,0.0456,131.57894736842104,1.4969999999999999,3.0,59.879999999999995,2.0040080160320644,18.959999999999997
24.0,Male,27523.28,Urban,Text,Health,Social Media,4,2023-11-18 20:45:56.899351,0.2826,0.0427,93.67681498829039,1.1304,2.0,45.216,1.7692852087756545,21.608
32.0,Other,52754.67,Suburban,Text,Health,Social Media,5,2023-12-08 20:45:56.899351,0.1387,0.0481,103.95010395010395,0.6935,2.5,27.740000000000002,3.604902667627974,10.096
28.0,Female,54883.59,Suburban,Banner,Finance,Website,6,2024-03-20 20:45:56.899351,0.4485,0.0375,160.0,2.691,3.0,107.63999999999999,1.1148272017837235,34.879999999999995
62.0,Female,15418.29,Rural,Text,Fashion,Social Media,9,2023-11-24 20:45:56.899351,0.1383,0.0703,128.02275960170698,1.2447000000000001,4.5,49.788000000000004,3.615328994938539,10.064
45.0,Female,40055.2,Rural,Banner,Food,Social Media,3,2023-06-21 20:45:56.899351,0.4684,0.0523,57.361376673040155,1.4052,1.5,56.208,1.067463706233988,36.472
41.0,Female,76007.96,Suburban,Text,Finance,Search Engine,8,2024-02-17 20:45:56.899351,0.2614,0.0426,187.79342723004694,2.0912,4.0,83.64800000000001,1.9127773527161436,19.912000000000003
23.0,Male,38639.97,Suburban,Banner,Fashion,Social Media,4,2024-02-09 20:45:56.899351,0.2637,0.0454,88.10572687224669,1.0548,2.0,42.192,1.896094046264695,20.096
43.0,Female,61891.35,Rural,Banner,Health,Search Engine,7,2024-03-22 20:45:56.899351,0.2266,0.0506,138.3399209486166,1.5862,3.5,63.448,2.206531332744925,17.128
24.0,Male,64885.02,Urban,Text,Health,Social Media,9,2023-09-09 20:45:56.899351,0.1886,0.0569,158.17223198594024,1.6974,4.5,67.896,2.651113467656416,14.088000000000001
35.0,Male,44861.95,Rural,Native,Travel,Search Engine,3,2023-06-08 20:45:56.899351,0.3215,0.0852,35.2112676056338,0.9645,1.5,38.58,1.5552099533437014,24.72
25.0,Female,30298.96,Urban,Native,Health,Website,3,2024-03-10 20:45:56.899351,0.1246,0.0284,105.63380281690141,0.3738,1.5,14.952000000000002,4.012841091492777,8.968000000000002
45.0,Male,54726.72,Urban,Native,Health,Search Engine,7,2023-05-10 20:45:56.899351,0.2797,0.0346,202.3121387283237,1.9579,3.5,78.316,1.7876296031462282,21.376
43.0,Male,56708.49,Rural,Video,Travel,Website,7,2023-07-02 20:45:56.899351,0.0061,0.0492,142.27642276422765,0.0427,3.5,1.7080000000000002,81.96721311475409,-0.5119999999999999
31.0,Male,9662.59,Urban,Video,Technology,Social Media,4,2023-11-19 20:45:56.899351,0.0404,0.0447,89.48545861297539,0.1616,2.0,6.4639999999999995,12.376237623762377,2.2319999999999998
40.0,Female,63083.44,Urban,Video,Health,Social Media,8,2024-01-13 20:45:56.899351,0.0314,0.0704,113.63636363636363,0.2512,4.0,10.047999999999998,15.923566878980893,1.5119999999999996
18.0,Male,52019.09,Urban,Native,Health,Search Engine,7,2023-07-09 20:45:56.899351,0.2714,0.0913,76.67031763417305,1.8998,3.5,75.99199999999999,1.8422991893883567,20.711999999999996
12.0,Other,51594.96,Urban,Video,Food,Search Engine,2,2024-02-25 20:45:56.899351,0.2567,0.0821,24.360535931790498,0.5134,1.0,20.535999999999998,1.9477989871445267,19.535999999999998
41.0,Other,82441.0,Rural,Banner,Fashion,Search Engine,5,2023-05-20 20:45:56.899351,0.1362,0.0577,86.65511265164645,0.6809999999999999,2.5,27.24,3.6710719530102796,9.895999999999999
37.0,Male,72557.72,Urban,Native,Food,Search Engine,2,2023-10-21 20:45:56.899351,0.0633,0.0464,43.10344827586207,0.1266,1.0,5.064,7.8988941548183265,4.064
44.0,Male,81286.8,Urban,Text,Food,Social Media,2,2023-09-17 20:45:56.899351,0.2082,0.0594,33.67003367003367,0.4164,1.0,16.656,2.4015369836695486,15.655999999999999
70.0,Female,84652.97,Suburban,Text,Health,Search Engine,5,2023-08-23 20:45:56.899351,0.3645,0.0625,80.0,1.8225,2.5,72.9,1.3717421124828533,28.160000000000004
49.0,Female,51944.78,Urban,Banner,Finance,Search Engine,7,2024-04-04 20:45:56.899351,0.1069,0.051,137.2549019607843,0.7483,3.5,29.932,4.677268475210477,7.552
21.0,Other,48634.92,Urban,Text,Food,Social Media,8,2023-08-19 20:45:56.899351,0.1038,0.043,186.046511627907,0.8304,4.0,33.216,4.816955684007707,7.304
51.0,Male,60914.57,Suburban,Video,Technology,Website,5,2024-03-04 20:45:56.899351,0.0683,0.0556,89.92805755395683,0.3415,2.5,13.66,7.320644216691068,4.464
15.0,Other,11892.93,Urban,Banner,Technology,Search Engine,5,2024-01-28 20:45:56.899351,0.1221,0.0612,81.69934640522877,0.6105,2.5,24.42,4.095004095004095,8.768
